instance,solver,score,time_sec,feasible,gap,extras
dense_deceptive_s4000_i0,greedy,57.183978527137604,0.00026295799762010574,True,,"{'selected': [1, 6, 7, 8, 9, 10, 14, 16]}"
dense_deceptive_s4000_i0,local_search,78.69672200249872,0.006743458972778171,True,,
dense_deceptive_s4000_i0,cpsat,81.91324890849741,0.040984583960380405,True,6.979447562116547e-07,{'status': 4}
dense_deceptive_s4000_i0,mip_highs,81.91324890849741,0.46649841603357345,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
dense_deceptive_s4000_i0,dimod_sa,-inf,17.30802204203792,False,,
dense_deceptive_s4000_i0,bnb,61.90235646093835,1.0000131250126287,True,,{'nodes': 71920}
dense_deceptive_s4001_i1,greedy,73.45082751619006,0.00024920800933614373,True,,"{'selected': [0, 4, 5, 9, 10, 11, 14, 18, 19]}"
dense_deceptive_s4001_i1,local_search,94.84023859219327,0.005652291001752019,True,,
dense_deceptive_s4001_i1,cpsat,103.30559047082521,0.04055475001223385,True,0.0,{'status': 4}
dense_deceptive_s4001_i1,mip_highs,103.30559047082521,0.29316291701979935,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
dense_deceptive_s4001_i1,dimod_sa,-inf,17.500415999966208,False,,
dense_deceptive_s4001_i1,bnb,81.21996438102177,1.0000104579958133,True,,{'nodes': 76925}
dense_deceptive_s4002_i2,greedy,75.38308771814964,0.00026366597739979625,True,,"{'selected': [0, 1, 4, 7, 8, 10, 11, 18, 19]}"
dense_deceptive_s4002_i2,local_search,106.29252925331673,0.005676250031683594,True,,
dense_deceptive_s4002_i2,cpsat,108.81687319371466,0.02538329199887812,True,0.0,{'status': 4}
dense_deceptive_s4002_i2,mip_highs,108.81687319371466,0.21482983295572922,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
dense_deceptive_s4002_i2,dimod_sa,-inf,17.38594137504697,False,,
dense_deceptive_s4002_i2,bnb,82.96754355865396,1.0000224999967031,True,,{'nodes': 74955}
dense_deceptive_s4003_i3,greedy,129.21712010828946,0.00031108298571780324,True,,"{'selected': [2, 3, 4, 6, 7, 9, 11, 15, 17, 18, 19]}"
dense_deceptive_s4003_i3,local_search,129.02866516921353,0.005900749994907528,True,,
dense_deceptive_s4003_i3,cpsat,129.21712010828946,0.02183216600678861,True,4.5687822876061546e-06,{'status': 4}
dense_deceptive_s4003_i3,mip_highs,129.21712010828946,0.07652116694953293,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
dense_deceptive_s4003_i3,dimod_sa,-inf,17.19489662500564,False,,
