seed,condition,method,instance,family,n_cities,repetition,trial_seed,feasible,tour_length,optimum,optimality_gap,runtime_seconds,status,solver_sha256
202,trained,trained,kroB100,krob,100,0,1421386499,True,26886.0,22141.0,0.214308296824895,0.06563375203404576,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroB100,krob,100,1,3930437342,True,27874.0,22141.0,0.258931394245969,0.0708279269747436,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroB100,krob,100,2,3339627623,True,28896.0,22141.0,0.305090104331331,0.08853326900862157,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroB100,krob,100,3,3430542698,True,26886.0,22141.0,0.214308296824895,0.06646691006608307,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroB100,krob,100,4,3747162029,True,28180.0,22141.0,0.27275190822456075,0.05753473693039268,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroC100,kroc,100,0,3196481539,True,28820.0,20749.0,0.38898260157116005,0.057465299032628536,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroC100,kroc,100,1,2025196982,True,25983.0,20749.0,0.25225312063231964,0.06165598600637168,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroC100,kroc,100,2,626300953,True,26035.0,20749.0,0.2547592655067714,0.0642604170134291,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroC100,kroc,100,3,970792242,True,26610.0,20749.0,0.28247144440695937,0.06135858700145036,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroC100,kroc,100,4,205236282,True,24954.0,20749.0,0.20266036917441804,0.08344251394737512,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
